what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333262667831
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1333262667831
java.specification.name,sysinfo,,,"Java Platform API Specification",1333262667831
java.specification.vendor,sysinfo,,,"Oracle Corporation",1333262667831
java.specification.version,sysinfo,,,"1.7",1333262667831
java.vendor,sysinfo,,,"Oracle Corporation",1333262667831
java.version,sysinfo,,,"1.7.0_03",1333262667831
java.vm.info,sysinfo,,,"mixed mode",1333262667831
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1333262667831
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333262667831
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1333262667831
java.vm.specification.version,sysinfo,,,"1.7",1333262667831
java.vm.vendor,sysinfo,,,"Oracle Corporation",1333262667831
java.vm.version,sysinfo,,,"22.1-b02",1333262667831
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1333262672511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262679980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262685258
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333262691339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262694781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262698232
started,bundle,net.sf.eclipsefp.haskell.buildwrapper,2.2.0,"net.sf.eclipsefp.haskell.buildwrapper",1333262701098
started,bundle,net.sf.eclipsefp.haskell.browser,2.2.0,"net.sf.eclipsefp.haskell.browser",1333262701187
started,bundle,net.sf.eclipsefp.haskell.util,2.2.0,"net.sf.eclipsefp.haskell.util",1333262701196
started,bundle,net.sf.eclipsefp.haskell.ghccompiler,2.2.0,"net.sf.eclipsefp.haskell.ghccompiler",1333262701318
started,bundle,net.sf.eclipsefp.haskell.core,2.2.0,"net.sf.eclipsefp.haskell.core",1333262701321
started,bundle,net.sf.eclipsefp.haskell.ui,2.2.0,"net.sf.eclipsefp.haskell.ui",1333262701324
started,bundle,org.python.pydev.core,2.3.0.2011121518,"org.python.pydev.core",1333262701465
started,bundle,org.python.pydev.debug,2.3.0.2011121518,"org.python.pydev.debug",1333262701468
started,bundle,com.python.pydev.analysis,2.3.0.2011121518,"com.python.pydev.analysis",1333262701492
started,bundle,org.python.pydev,2.3.0.2011121518,"org.python.pydev",1333262701513
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1333262701553
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1333262701560
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1333262701562
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1333262701564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262707652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333264393045
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1333264395906
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1333264408070
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1333264408080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333264417230
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1333264420458
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1333264420508
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1333264420582
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1333264420585
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1333264420593
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1333264420598
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1333264420600
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1333264420602
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1333264420605
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1333264420624
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1333264420628
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1333264420634
